db,dbms: mechanisms to control data access protects (...) by (...)	data integrity and privacy, controlling the actions that users can perform on the data	DBMS
db,dbms: mechanisms to control data access protects (...)	data integrity and privacy	DBMS
db,dbms: mechanisms to control data access protect data integrity and privacy by (...)	controlling the actions that users can perform on the data	DBMS
db,dbms: host language interface is software that allows (...) to be combined with (...) to create (...)	database commands, standard programming language commands, applications	DBMS
db,dbms: host language interface simplifies (...) by allowing the database to (...)	programming, handle the data-oriented portions of the application	DBMS
db,dbms: host language interface simplifies (...)	programming	DBMS
db,dbms: host language interface simplifies programming by allowing the database to (...)	handle the data-oriented portions of the application	DBMS
db,dbms: data manipulation language enables users to do what?	access and manipulate data in a database	DBMS
db,dbms: definition of 4GL development software	a visual interface software to develop applications	DBMS
db,dbms: 4GL development software is a (...) to develop applications	visual interface software	DBMS
db, dbms: 4GL development software is a visual interface software to (...)	develop applications	DBMS
db,dbms: 4GL development software does?	form and report generators	DBMS
db,dbms: disaster recovery is software that provides mechanisms to (...) and (...)	recover damaged data, control concurrent access	DBMS
db,dbms: definition of concurrent access	the simultaneous access by multiple users	DBMS
db,dbms: disaster recovery includes maintenance of a (...) that contains the (...)	transaction log, list of changes made to the database	DBMS
db,dbms: disaster recover includes maintenance of a (...)	transaction log	DBMS
db,dbms: a transaction log in disaster recover contains the (...)	list of changes made to the database	DBMS
db: defintion of data models	conceptual methods of structuring data	data-models
db: a data model is a (...) of structuring data	conceptual method	data-models
db: a data model is a conceptual method of (...)	structuring data	data-models
What are the four data models for implementing database systems?	hierarchical, network, relational, and object-oriented	data-models
db: data model with a tree-like structure?	hierarchical model	data-models
db: data model with a one-to-many relationship?	hierarchical model	data-models
db: data model with many-to-many relationships?	network model	data-models
db: the most popular and most prevalent data model?	relational model	data-models
db: data model that has its data elements stored in tables?	relational model	data-models
db: data models that use pointer-based retrieval?	hierarchical and network models	data-models
db: data model that has its records organized as collections of arbitrary graphs?	network model	data-models
db: data model that has its relationships between data structured as hierarchies?	hierarchical method	data-models
db: data model that uses a collection of tables to represent data and relationships among data?	relational model	data-models
db: A relational model is less (...) than pointer-based retrieval	machine-efficient	data-models
db: A relational model is less machine-efficient than (...)	pointer-based retrieval	data-models
db: A relational model can easily accomodate (...)	changes in the database structure	data-models
db: data model that’s emerging technology?	object-oriented model	data-models
db: data model that combines data and methods/processes used with the data?	object-oriented model	data-models
db: An object-orientel model combines (...) and (...)	data, methods/processes	data-models
db: data model that features the concept of inheritance of properties?	object-oriented model	data-models
db: An object-oriented model features the concept of (...)	inheritance of properties	data-models
db: In an object-oriented model, data and methods that can be performed on data are stored where?	in objects	data-models
db: Object-oriented models are primarily implemented in (...) rather than (...)	engineering, business-oriented systems	data-models
db: Relational models have an improved (...) of database programming	conceptual efficiency	data-models
db: Relational models have an improved conceptual efficiency of (...)	database programming	data-models
db: In a relational model, what can non-technical users do?	access the database and retrieve selected data through query languages	data-models
db: Relational models have an increased (...) of information large-scale databases	availability	data-models
What are the four types of databases according to the degree of centralization/decentralization of processing that they support?	centralized, distributed, client-server, and personalized (CDCSP)	database-types
database type that has all its data located at a single site and controlled by a single computer?	centralized database	database-types
database type that’s developed on a personal computer?	personalized database	database-types
In a centralized database, what does the central computer do?	does all the data processing activities, data access and retrieval, programming, and conversion of results to the form required by the user	database-types
In a centralized database, how can remote users access the database?	using terminals or data communication links	database-types
database type that’s vulnerable to failure?	centralized database	database-types
database type that has its database stored on a server, with much of the processing able to be moved to the client?	client-server database	database-types
database type that’s a single logical database that’s physically spread across multiple computers?	distributed database	database-types
In a distributed database, where would data be stored?	at the location where it is most frequently used	database-types
Client-server databases are designed to support (...) processing	cooperative	database-types
Centralized databases are vulnerable to?	failure	database-types
Personalized databases are normally used and maintained by how many users?	one	database-types
Personalized databases are designed to be easy for what kind of users?	non-technical	database-types
Personalized databases risk creating (...)	islands of information	database-types
db: What happens in islands of information?	data cannot readily be shared	database-types
Client-server databases reduces workload on?	database servers	database-types
Client-server databases allow higher (...) to be handled with the server’s capacity	volumes of transactions	database-types
Client-server databases provide (...) to expand systems	greater flexibility	database-types
Client-server databases give individual users greater (...)	control	database-types
Distributed databases minimizes the load on (...)	communication networks	database-types
Distributed databases gives users a sense of (...)	a sense of ownership over the data they use most frequently	database-types
Distributed databases add complexity to (...)	database processing	database-types
db: examples of structured data?	numeric values, characters, dates	data-and-information
db: examples of unstructured data?	documents, maps, photos, audio, video	data-and-information
db: Structured data is stored in what form?	tabular form	data-and-information
db: a distributed database is a (...) database that’s physically spread across multiple computers	single logical	database-types
db: a distributed database is a single logical database that’s (...) across multiple computers	physically spread	database-types
db: a distributed database is a single logical database that’s physically spread across (...)	multiple computers	database-types
db: a centralized database is vulnerable to (...)	failure	database-types
db: a personalized database is developed on a (...)	personal computer	database-types
db: a client-server database has its database stored on the (...)	server	database-types
db: a client-server database has much of its processing able to be moved to the (...)	client 	database-types
db: a centralized database has all its data located at a (...)	single site	database-types
db: a centralized database has its data controlled by a (...)	single computer	database-types
