"front","back","tags"
"semiconmem,EPROM: number of transistors per bit?","one","semiconductor-memory EPROM"
"semiconmem,EEPROM: can be written into how many times?","multiple","semiconductor-memory EEPROM"
"semiconmem,EEPROM: can be written into without doing what?","erasing prior contents","semiconductor-memory EEPROM"
"semiconmem,EEPROM: updates only the (...)","addressed byte/s","semiconductor-memory EEPROM"
"semiconmem,EEPROM: updates addressed byte/s using?","ordinary bus control, addressing, and data lines","semiconductor-memory EEPROM"
"semiconmem,EEPROM: (...) takes longer than (...) (processes)","writing, reading","semiconductor-memory EEPROM"
"semiconmem,EEPROM: number of transistors per bit?","two","semiconductor-memory EEPROM"
"semiconmem,flash: erases (...) of memory in a flash","blocks","semiconductor-memory flash-memory"
"semiconmem,flash: number of transistors per bit?","one","semiconductor-memory flash-memory"
"compmem: main memory is composed of a collection of (...) chips","DRAM","interleaved-memory"
"compmem: chips can be grouped together to form?","a memory bank","interleaved-memory"
"compmem: it is possible to organize the banks to achieve?","interleaved memory","interleaved-memory"
"compmem,inmem: each bank is independently able to?","do a memory read/write request","semiconductor-memory"
"compmem,inmem: a system with K banks can do (...) requests simultaneously (number)","K","interleaved-memory"
"compmem,inmem: same memory bank is (...) during contiguous reads and writes","not used repeatedly","interleaved-memory"
"compmem,inmem: minimizes?","wait times between reads and writes","interleaved-memory"
"compmem,inmem: increases?","thoughtput","interleaved-memory"
"compmem,ROM: summary of cost?","ROM > PROM < EPROM < Flash < EEPROM","semiconductor-memory ROM"
"compmem,ROM: summary of density?","EEPROM < EPROM and Flash","semiconductor-memory ROM"
